numero;b1;b2;b3;b4;b5;i1;i2;i3;i4;i5;n1;n2;n3;n4;n5;g1;g2;g3;g4;g5;o1;o2;o3;o4;o5
18;8;13;9;5;1;16;28;19;17;21;32;36;0;42;37;56;55;52;53;49;75;64;65;73;74
19;15;1;10;4;13;23;26;27;25;16;39;32;0;36;45;57;50;48;59;54;63;72;70;71;75
20;5;2;14;10;9;24;30;18;26;29;44;32;0;42;35;46;52;51;57;58;67;72;64;70;71
21;1;14;8;7;4;26;16;19;18;30;41;37;0;38;42;49;53;59;56;60;64;71;65;62;68
22;11;12;4;5;3;29;20;30;27;18;45;39;0;34;42;50;54;49;55;53;70;62;66;73;63
23;8;10;6;4;3;27;18;26;29;25;41;42;0;38;35;51;50;57;60;54;61;68;63;72;64
24;1;7;14;11;4;25;18;20;30;26;35;31;0;33;43;53;56;57;52;51;68;75;63;62;65
25;4;9;5;10;11;22;17;16;20;26;42;32;0;31;43;60;57;50;51;59;63;66;73;71;68
26;10;4;5;14;7;18;16;24;30;22;37;41;0;45;44;52;59;57;51;50;73;75;65;72;62
27;6;4;10;2;3;16;26;23;30;20;38;37;0;35;33;48;54;47;56;49;67;71;65;66;69
28;13;5;14;6;10;30;19;27;23;29;43;37;0;40;38;56;58;53;60;55;72;61;63;65;69
29;4;2;14;3;12;29;16;23;18;25;45;33;0;38;34;55;46;47;56;51;74;65;69;64;62
30;8;3;12;2;5;25;23;17;21;22;43;37;0;34;38;53;48;58;49;56;61;67;66;71;63
31;10;6;2;15;1;25;24;21;23;20;40;39;0;36;43;47;55;51;53;56;68;66;61;73;74
32;1;12;10;15;6;22;21;24;20;29;43;38;0;42;36;56;46;48;50;51;75;61;70;73;68
33;14;3;7;13;1;26;25;16;24;27;44;39;0;34;37;59;52;50;56;53;67;73;71;75;66
34;3;8;9;13;5;26;16;18;17;25;37;43;0;33;36;48;56;53;46;59;62;64;61;71;72
35;13;8;11;5;2;19;24;30;21;16;32;44;0;36;31;59;53;54;46;52;72;61;69;71;73
36;5;7;4;3;11;30;27;20;28;16;37;33;0;31;38;54;53;52;55;57;66;61;62;65;74
37;9;6;14;15;8;23;25;26;29;20;32;44;0;42;39;57;55;53;46;48;74;62;68;65;75
38;4;1;11;15;10;23;26;24;28;20;32;37;0;39;36;51;48;50;56;46;71;70;61;67;69
39;11;6;5;10;13;24;28;18;30;26;34;44;0;32;41;55;53;51;59;50;69;66;74;71;68
40;2;13;12;10;9;27;21;26;25;24;38;43;0;34;41;49;50;56;60;51;67;66;71;65;72
41;3;7;6;12;13;22;21;27;25;18;35;45;0;32;44;54;51;48;46;52;63;70;73;69;68
42;9;5;4;2;8;30;29;22;28;25;40;45;0;37;38;55;54;53;57;58;62;63;66;67;61
43;10;8;11;12;4;17;20;23;22;19;33;38;0;44;34;58;60;49;48;47;74;69;72;65;62
44;15;12;3;7;5;16;23;27;19;25;40;33;0;32;38;52;59;51;46;60;75;68;74;64;70
45;1;7;9;8;13;30;25;22;21;24;42;33;0;41;37;52;59;54;60;50;65;66;69;74;61
46;11;7;13;5;14;20;29;23;22;17;37;32;0;43;38;60;53;52;59;48;73;69;70;68;72
47;2;15;4;13;3;26;29;20;21;28;44;38;0;31;42;47;54;55;52;60;73;72;67;65;62
48;4;1;9;3;14;19;21;17;20;25;38;37;0;32;43;58;54;60;52;59;74;61;70;64;63
49;3;8;4;11;9;16;18;17;29;27;34;37;0;32;31;60;49;56;58;59;64;73;63;74;68
50;15;9;13;8;3;18;24;29;16;30;33;39;0;43;34;57;54;52;60;59;73;62;64;70;65
51;13;14;9;7;1;24;29;21;26;16;39;45;0;43;33;56;49;50;54;60;72;69;70;64;65
52;8;4;13;3;9;16;19;27;20;22;42;31;0;40;39;54;52;53;58;55;64;61;72;66;75
53;9;15;1;10;5;30;18;21;23;29;42;41;0;38;40;49;46;48;53;60;75;67;70;71;61
54;5;13;9;1;12;17;19;27;26;22;42;31;0;38;33;55;54;58;49;51;66;63;72;69;64
55;3;9;11;1;4;26;21;25;17;23;34;36;0;35;31;55;52;53;58;48;64;61;66;70;68
56;5;13;2;8;4;24;21;28;18;19;34;38;0;40;44;59;55;60;49;56;68;70;73;64;69
57;10;8;11;5;7;26;27;21;20;24;34;39;0;40;36;54;60;51;48;50;65;68;62;61;63
58;5;13;7;12;9;18;26;20;22;17;36;39;0;45;40;54;53;60;58;52;62;61;63;70;68
59;6;7;4;3;1;27;30;20;28;16;42;41;0;40;37;51;52;48;60;55;75;71;66;61;73
60;14;9;11;1;7;26;28;20;24;17;33;31;0;34;45;46;50;54;49;59;74;64;69;75;61
61;15;11;13;5;12;22;17;26;16;25;42;35;0;38;41;54;50;57;52;56;70;75;74;68;65
62;11;14;6;8;5;16;23;21;26;25;44;45;0;33;34;57;58;60;50;55;72;66;75;69;73
63;14;6;15;5;2;22;23;27;28;26;32;43;0;37;39;58;55;52;57;48;71;74;64;72;70
64;8;13;1;7;5;17;22;28;24;30;34;45;0;44;36;59;58;53;47;50;68;71;70;74;75
65;12;3;8;15;6;26;17;19;24;22;32;41;0;40;45;56;51;50;54;60;65;64;75;69;61
66;3;10;7;12;5;24;30;19;17;22;33;35;0;37;31;56;52;59;47;53;62;72;69;73;70
67;10;13;6;4;3;23;29;22;21;24;31;41;0;32;34;60;52;53;58;56;75;66;64;63;71
68;3;8;11;10;12;27;23;17;28;30;31;34;0;35;41;47;48;51;57;46;71;67;62;66;73
69;10;3;12;13;14;24;28;29;30;25;38;42;0;43;39;57;48;59;55;56;63;75;68;66;67
70;10;1;5;9;2;27;18;17;24;16;34;35;0;40;44;51;55;53;57;46;69;72;70;73;62
71;3;11;9;14;4;16;23;29;25;18;39;34;0;45;33;53;47;54;56;51;69;65;61;68;71
72;11;12;4;13;5;30;18;27;19;23;32;36;0;41;33;58;57;59;50;49;69;66;63;70;64
73;9;4;7;3;10;17;27;20;28;21;41;36;0;38;42;49;60;50;55;52;61;62;66;75;74
74;14;9;1;13;2;17;23;26;30;29;31;32;0;42;34;58;57;54;53;59;75;74;70;72;67
75;7;12;15;13;5;16;28;21;20;25;31;45;0;42;38;48;47;58;49;54;65;63;73;67;66
76;6;13;5;12;1;16;24;19;21;25;45;41;0;32;38;48;53;51;46;54;74;75;65;66;67
77;3;8;11;6;10;19;20;30;27;25;31;43;0;33;37;49;58;47;54;53;71;74;64;72;61
78;15;4;14;11;1;18;24;20;21;23;36;41;0;32;37;55;49;58;47;48;72;66;74;69;67
79;15;12;7;2;8;29;25;30;21;27;41;39;0;40;38;55;52;58;51;53;65;71;62;63;74
80;15;3;5;10;13;21;17;22;23;28;38;31;0;39;43;49;47;53;48;55;65;64;67;66;75
81;12;14;10;5;4;22;27;19;21;18;35;40;0;32;31;53;50;49;60;57;72;66;71;75;64
82;2;11;14;1;8;21;25;16;20;18;35;32;0;42;38;53;52;58;55;50;67;71;70;65;73
83;4;14;8;5;15;26;21;29;22;24;36;34;0;39;31;51;57;49;54;60;71;63;61;62;73
84;2;4;10;7;15;25;19;21;30;20;39;42;0;36;41;55;59;60;52;46;69;64;66;71;75
85;3;10;7;13;14;26;22;16;23;30;45;44;0;37;39;55;46;52;58;53;73;63;68;75;61
86;13;9;1;6;15;22;20;25;23;30;45;38;0;37;34;54;49;53;46;59;65;61;68;75;72
87;12;4;14;5;7;18;19;28;29;25;41;43;0;45;40;47;52;57;54;56;64;75;67;62;74
88;3;5;7;12;11;19;18;23;27;21;36;42;0;40;31;55;58;47;60;51;66;65;70;74;61
89;2;7;15;6;3;17;20;29;16;21;36;35;0;34;32;52;53;51;59;48;74;62;65;70;64
90;8;13;5;2;15;28;19;23;18;29;43;38;0;37;36;56;58;55;57;53;72;71;74;63;64
91;11;5;4;14;12;27;25;24;30;26;35;41;0;42;39;57;56;59;58;47;61;63;71;68;74
92;13;8;3;10;7;26;19;29;27;16;40;34;0;32;33;57;53;59;50;56;62;72;71;67;61
93;4;8;11;7;13;18;23;19;22;29;41;43;0;40;38;48;52;51;59;57;70;66;63;75;68
94;12;8;11;5;13;27;22;23;28;25;33;35;0;37;43;53;47;60;59;46;61;67;73;62;69
95;8;4;12;11;2;21;24;17;19;16;33;36;0;43;35;60;57;52;49;46;61;66;75;63;71
96;10;7;11;8;9;29;27;18;20;21;41;43;0;32;37;60;56;49;51;46;62;68;74;72;69
97;14;12;2;10;11;17;29;28;24;23;35;42;0;32;36;50;51;53;56;54;74;67;61;73;66
98;2;9;6;5;13;28;18;20;25;21;44;33;0;43;39;46;50;49;54;59;63;64;67;68;62
99;13;2;6;11;5;25;23;21;24;22;43;45;0;40;39;48;55;53;59;47;61;63;64;70;75
100;3;9;5;14;13;16;20;19;27;25;32;36;0;44;41;47;60;46;54;49;72;71;69;67;66
101;15;14;8;6;1;16;17;29;20;23;31;44;0;39;36;47;54;57;53;58;73;67;64;61;72
102;14;9;4;3;6;29;23;19;21;27;40;34;0;36;33;49;59;53;46;54;61;63;69;66;71
103;10;7;4;6;3;22;30;17;18;25;44;45;0;31;35;57;59;54;50;51;75;61;72;62;66
104;5;9;6;14;12;17;23;21;18;22;37;38;0;42;44;53;47;50;60;49;63;65;64;67;62
105;8;4;5;13;12;26;18;29;21;16;33;31;0;36;41;59;49;57;46;52;70;69;62;63;72
106;13;12;14;6;2;16;19;27;24;30;33;41;0;40;43;48;53;47;49;50;62;65;61;67;75
107;1;9;11;6;14;21;27;20;19;17;39;42;0;37;44;49;52;53;50;46;75;72;62;65;74
108;9;7;10;6;15;26;21;18;20;17;36;34;0;32;41;52;57;47;56;60;74;67;75;69;70
109;8;3;13;6;2;18;24;25;22;16;37;34;0;35;32;59;46;51;58;56;65;70;72;69;62
110;5;8;2;15;4;25;28;29;23;16;41;44;0;32;35;56;55;57;53;52;63;72;69;68;62
111;3;2;5;9;8;24;19;17;20;22;41;42;0;32;33;51;58;48;57;54;73;74;61;69;62
112;12;8;6;14;7;26;29;20;16;18;38;43;0;44;35;53;49;47;50;46;63;62;70;68;66
113;7;13;12;10;6;26;17;22;18;23;33;31;0;43;34;48;59;57;46;54;67;73;74;62;65
114;1;4;8;15;12;21;20;17;22;18;36;32;0;31;33;54;53;46;58;60;65;63;69;74;64
115;8;13;1;4;15;26;23;21;24;17;31;44;0;32;41;58;46;51;60;56;66;70;69;73;63
116;3;6;4;7;14;20;26;28;19;23;37;33;0;45;35;60;47;57;59;58;72;75;64;61;65
117;11;6;13;5;2;28;23;22;24;18;40;41;0;34;38;57;54;56;58;52;72;67;62;64;75
118;5;9;3;14;4;24;19;26;23;29;39;41;0;34;43;60;58;49;52;59;66;71;75;62;61
119;1;4;15;13;3;17;28;29;18;30;34;43;0;38;39;59;58;46;55;51;72;69;66;73;68
120;10;3;5;1;6;18;25;27;30;16;39;33;0;32;34;59;58;56;48;60;72;63;67;74;65
121;10;5;15;4;11;21;28;20;19;16;41;42;0;45;38;57;46;49;60;59;64;61;75;71;73
122;4;12;5;13;8;24;18;22;28;29;40;34;0;31;32;50;58;54;48;55;73;62;61;75;71
123;13;1;9;10;14;27;25;23;21;29;37;42;0;45;33;46;54;47;60;55;74;64;73;72;62
124;2;13;15;1;10;16;28;20;17;21;44;39;0;45;37;51;47;54;49;58;66;64;72;69;61
125;6;3;14;4;11;18;29;21;25;28;37;40;0;32;34;56;51;46;55;57;68;65;62;61;63
126;7;13;15;1;2;23;19;16;18;30;37;35;0;44;34;55;60;52;51;46;61;62;67;72;66
127;11;5;6;2;3;17;24;26;29;25;43;31;0;38;32;54;52;50;51;48;68;66;74;61;63
128;3;9;11;6;13;22;30;27;18;25;37;32;0;40;42;49;55;57;46;48;69;75;73;65;67
129;8;9;5;1;12;24;25;19;20;29;35;37;0;33;42;58;49;47;54;48;62;70;71;74;66
130;7;2;15;8;10;19;17;18;26;28;35;37;0;36;34;56;47;55;51;49;62;71;61;65;75
131;4;13;15;6;12;22;25;28;23;24;31;43;0;36;40;46;53;51;55;58;64;66;71;70;67
132;1;6;3;4;8;18;19;23;30;17;35;31;0;40;39;53;57;48;49;52;63;66;65;64;71
133;6;4;10;9;3;26;21;18;30;19;34;42;0;44;43;47;46;60;55;57;69;75;63;68;65
134;14;10;5;1;15;19;23;17;28;21;33;34;0;36;38;52;60;47;57;50;73;70;72;65;62
135;6;14;10;3;5;23;22;24;17;20;36;38;0;34;45;55;49;52;46;48;62;68;66;63;69
136;13;14;6;5;2;21;22;17;29;28;39;31;0;41;45;48;47;51;46;49;74;64;73;61;67
137;13;11;12;8;2;18;17;21;20;16;33;37;0;36;44;53;46;49;55;48;64;71;63;73;61
138;15;1;5;9;7;29;23;17;19;18;31;42;0;40;32;60;49;58;55;59;68;65;63;75;64
139;10;8;1;2;6;23;24;25;29;21;39;44;0;35;43;53;50;60;48;46;62;66;73;67;64
140;9;15;8;3;7;29;18;27;21;24;38;31;0;37;42;57;49;55;53;56;74;63;62;69;65
141;6;15;12;11;1;29;17;21;28;25;43;37;0;42;44;60;55;56;58;50;66;65;67;75;70
142;9;7;4;8;6;29;19;16;17;25;38;41;0;36;34;49;48;50;54;51;62;75;71;64;69
143;8;9;13;3;15;25;27;23;19;26;40;44;0;34;32;56;50;51;53;55;67;73;66;64;69
144;14;2;10;9;11;27;25;16;22;23;34;45;0;40;35;46;53;50;59;54;69;64;75;68;63
145;2;8;5;6;7;26;20;23;28;21;34;33;0;39;42;50;59;55;46;48;65;69;73;70;64
146;3;13;11;7;5;27;18;28;19;25;39;41;0;34;35;59;49;54;48;57;62;74;73;70;69
147;6;8;14;9;10;25;24;23;26;19;34;42;0;38;35;47;58;46;60;57;73;63;62;74;75
148;8;13;12;15;9;23;22;26;17;21;32;42;0;43;38;46;60;52;47;51;65;69;63;74;75
149;8;5;10;13;1;29;19;21;16;27;38;42;0;34;43;57;54;60;52;51;62;63;66;74;75
150;8;15;7;3;2;20;21;29;23;26;31;35;0;33;32;48;60;55;54;57;71;74;73;69;61
151;2;8;1;14;11;16;20;25;22;23;32;42;0;31;38;46;51;52;56;54;75;64;61;65;69
152;8;12;14;13;5;18;24;29;22;16;38;33;0;37;35;54;59;46;49;50;74;66;63;72;69
153;8;3;5;10;1;26;21;25;18;27;40;32;0;38;43;47;48;51;50;57;66;62;63;74;67
154;5;12;9;14;15;24;22;16;26;17;33;36;0;44;38;58;52;53;59;48;65;67;72;69;70
155;15;14;3;10;12;28;23;30;21;27;37;45;0;44;31;50;52;54;48;58;64;69;75;65;72
156;13;3;12;2;15;28;26;27;23;22;34;33;0;36;37;60;59;54;51;47;64;61;74;65;66
157;6;4;10;15;3;28;23;30;26;29;36;37;0;33;35;51;48;58;46;49;71;74;69;70;62
158;2;9;7;3;10;24;19;16;23;20;44;45;0;37;38;53;60;49;58;54;74;75;63;72;70
159;9;13;11;14;5;26;17;18;20;28;35;45;0;39;44;51;57;56;46;52;67;73;69;64;71
160;7;8;5;4;11;18;20;25;27;19;42;32;0;35;34;50;53;60;55;51;67;63;71;74;61
161;15;14;3;9;6;26;18;20;24;17;36;31;0;40;35;49;52;57;54;55;62;70;63;61;67
162;11;12;14;10;15;28;25;26;23;24;43;40;0;42;38;59;46;54;56;57;72;71;69;63;66
163;2;14;10;13;1;29;30;27;16;18;39;37;0;33;45;56;51;48;47;55;68;73;66;62;75
164;9;11;13;15;3;22;24;18;28;19;36;32;0;39;37;53;60;58;49;50;63;67;73;74;64
165;9;7;2;11;5;27;28;22;19;17;37;43;0;39;33;49;57;55;51;54;73;70;69;63;74
166;2;9;6;4;10;22;26;25;17;20;33;43;0;32;41;58;55;52;56;53;70;68;64;72;61
167;12;11;1;7;15;30;20;22;19;24;44;34;0;37;31;51;56;54;46;60;62;69;72;74;63
168;2;13;3;6;14;18;22;28;25;19;41;40;0;37;38;48;49;47;51;55;62;63;74;67;61
169;9;6;14;7;8;16;19;23;28;24;44;38;0;33;34;48;52;46;55;47;66;63;67;64;73
170;14;13;12;1;8;22;16;25;23;18;45;33;0;31;37;51;47;56;57;48;68;75;64;62;66
171;12;2;7;13;5;20;16;17;28;25;34;41;0;45;40;52;54;51;57;59;62;61;73;75;63
172;12;14;9;8;6;17;18;26;30;25;36;41;0;39;40;58;49;50;56;52;74;67;62;73;70
173;8;1;5;15;7;19;24;21;17;18;41;42;0;44;32;60;49;52;55;50;63;71;67;68;64
174;3;10;12;15;8;28;17;18;19;16;40;45;0;39;34;50;55;53;54;59;73;63;67;72;62
175;4;3;12;6;5;18;21;23;19;27;44;32;0;43;38;55;59;47;56;48;61;70;73;68;64
176;14;10;5;13;2;19;21;24;23;17;38;33;0;34;45;60;49;55;50;51;73;74;72;68;61
177;7;15;4;3;1;27;19;26;17;25;33;31;0;43;34;56;50;60;52;55;71;63;70;61;64
178;8;6;5;3;4;19;28;17;30;22;43;34;0;39;44;55;48;60;52;47;73;62;74;61;67
179;12;14;6;9;11;27;26;18;21;30;44;40;0;39;37;60;46;49;51;53;64;68;75;67;71
180;14;10;6;11;13;21;19;24;27;20;39;41;0;40;38;51;53;46;47;49;66;67;72;64;62
181;5;9;15;6;12;29;23;28;17;24;40;32;0;31;44;50;58;52;59;53;73;75;74;72;64
182;3;2;8;4;10;29;27;20;22;24;32;40;0;43;39;56;50;60;49;54;71;61;66;68;75
183;13;6;8;3;14;18;28;17;24;25;34;43;0;42;38;52;58;47;46;57;62;70;68;64;73
184;11;10;1;7;2;26;28;27;18;22;32;34;0;45;44;55;60;56;49;48;68;70;75;62;64
185;7;1;8;11;2;20;27;29;17;22;39;34;0;31;36;48;52;60;50;55;74;68;65;71;70
186;7;4;11;14;6;23;19;20;18;16;32;39;0;44;35;49;58;57;55;51;72;64;73;75;70
187;12;14;1;2;3;26;19;18;23;16;35;42;0;37;34;53;48;55;54;59;66;68;62;70;65
188;10;14;6;7;11;19;18;26;17;28;42;43;0;45;38;53;51;58;52;47;66;69;72;61;73
189;14;8;4;11;3;28;17;18;24;16;33;38;0;31;37;52;54;50;51;58;72;62;63;69;61
190;5;13;8;6;1;21;18;29;20;27;44;38;0;36;37;51;52;58;46;48;73;68;66;71;65
191;6;1;14;10;5;26;21;17;24;30;35;39;0;42;40;60;53;50;49;54;61;63;73;67;68
192;5;7;9;4;13;21;29;16;20;19;33;36;0;37;34;51;57;48;55;50;62;61;68;74;69
193;2;13;11;9;6;20;28;22;27;23;35;41;0;39;33;47;55;53;54;59;64;63;66;62;73
194;8;6;14;1;2;26;18;29;28;25;33;36;0;43;31;55;48;51;54;53;68;62;75;71;70
195;8;3;6;15;9;29;18;23;16;17;43;38;0;34;42;48;47;54;53;59;64;63;62;71;66
196;9;13;10;12;15;26;27;16;22;25;43;35;0;32;31;51;57;48;55;56;67;73;62;69;75
197;12;10;3;2;11;19;18;21;28;27;44;36;0;43;35;50;48;54;49;55;69;75;66;70;68
198;3;1;8;6;2;26;22;28;30;23;32;34;0;31;40;51;49;57;46;60;72;67;69;65;74
199;13;6;9;7;11;29;18;28;19;16;40;45;0;41;33;54;59;58;52;55;72;69;68;67;65
200;14;5;11;7;12;17;20;24;21;23;32;40;0;36;35;58;49;55;46;56;75;61;63;66;64
201;8;9;12;13;11;24;18;17;26;28;37;33;0;34;35;52;53;54;46;59;62;61;63;66;74
202;1;11;7;4;2;30;22;23;21;26;31;44;0;36;37;48;54;49;57;58;62;73;72;67;64
203;5;3;9;13;11;28;26;17;20;23;39;32;0;40;43;49;52;54;51;56;71;75;72;74;69
204;10;9;13;7;3;21;30;28;29;19;31;33;0;34;43;55;54;51;53;60;63;71;66;64;69
205;6;1;10;8;11;28;16;29;26;27;32;34;0;33;42;60;58;49;59;55;68;73;64;72;75
206;4;3;1;13;11;26;25;17;19;28;33;34;0;37;44;51;46;48;60;53;74;63;65;61;68
207;10;7;5;11;14;19;24;21;20;16;31;38;0;43;44;56;49;53;57;48;62;67;73;63;64
208;4;10;9;5;1;22;20;24;25;27;34;37;0;43;33;53;54;59;58;47;62;72;67;66;65
209;5;11;4;14;9;21;18;24;26;28;35;37;0;32;44;51;59;46;50;58;69;61;64;71;66
210;13;10;4;3;9;17;26;23;21;27;32;34;0;38;39;59;51;56;50;47;62;69;64;70;68
211;2;5;1;4;14;24;18;25;27;29;36;39;0;37;35;47;49;46;55;60;62;70;68;64;67
212;8;14;6;4;5;25;30;28;17;20;40;32;0;37;45;47;57;48;58;53;71;74;75;61;63
213;2;13;9;6;5;30;18;24;29;19;33;32;0;38;34;56;57;54;55;46;71;68;63;70;66
214;5;2;15;11;3;20;30;17;16;22;36;35;0;38;32;55;46;49;53;47;67;74;69;72;62
215;9;2;10;15;5;16;19;20;22;17;39;38;0;36;31;57;53;54;50;60;65;62;73;68;74
216;8;12;15;10;13;16;21;24;29;20;42;39;0;33;40;59;53;55;48;56;64;75;70;68;61
217;9;14;2;4;6;20;27;30;26;19;35;41;0;43;39;54;51;59;56;49;73;72;63;71;65
218;10;6;12;8;2;16;24;17;27;25;33;39;0;37;34;55;57;53;60;47;75;69;68;66;65
219;15;12;1;13;3;25;16;20;27;26;36;34;0;35;43;59;55;60;50;48;75;69;74;67;65
220;9;11;2;15;12;23;30;20;24;25;44;45;0;36;40;54;52;56;51;55;73;74;61;72;71
221;15;2;8;4;12;20;29;26;23;17;44;35;0;45;36;53;54;59;60;58;64;63;65;68;62
222;12;10;7;6;15;23;19;29;17;18;41;42;0;40;32;59;47;50;46;57;62;74;71;67;73
223;6;12;14;13;9;26;23;22;21;18;34;31;0;37;39;52;56;54;50;47;63;69;67;75;71
224;4;5;7;14;10;29;27;25;16;18;35;43;0;39;33;49;54;52;59;50;65;75;66;68;64
225;7;14;2;9;11;27;30;23;24;26;36;31;0;40;33;58;50;59;60;55;75;69;63;74;71
226;12;6;14;11;2;21;25;19;18;22;32;41;0;34;38;50;54;49;56;60;74;69;63;70;72
227;1;12;3;11;10;20;18;19;30;22;39;45;0;36;35;59;57;54;60;50;75;63;70;71;67
228;15;10;14;7;12;17;25;20;29;19;31;32;0;34;45;46;59;49;50;53;70;64;66;72;62
229;10;13;6;2;12;27;18;26;25;24;41;33;0;36;34;50;47;57;58;46;66;67;65;64;73
230;13;10;15;9;8;19;16;22;26;23;44;32;0;37;34;46;52;47;60;51;64;74;66;75;63
231;4;8;7;14;13;19;29;21;18;30;39;43;0;42;33;50;48;49;55;57;73;68;61;66;67
232;1;10;3;13;8;25;16;20;21;26;34;38;0;39;44;49;54;58;48;46;72;68;74;62;65
233;13;4;9;7;11;24;21;29;20;16;45;44;0;36;42;55;51;47;56;46;74;67;70;73;71
234;13;7;6;14;8;30;28;23;20;27;34;33;0;38;43;51;50;53;60;52;72;67;63;73;71
235;8;9;2;6;1;19;21;28;26;25;44;36;0;34;45;46;51;48;54;60;65;62;74;70;66
236;2;3;13;14;9;19;29;20;24;23;34;37;0;44;45;51;52;48;50;58;65;66;67;71;64
237;12;5;1;13;6;22;28;27;26;16;35;44;0;31;37;54;48;51;53;52;65;67;62;68;69
238;13;14;1;3;7;29;16;28;19;26;40;32;0;43;38;50;60;47;49;51;72;62;70;67;64
239;4;7;11;5;10;28;20;26;18;25;31;39;0;32;40;50;57;53;52;56;61;75;64;65;70
240;1;9;5;8;10;23;26;21;27;17;38;42;0;32;39;53;51;56;52;54;63;70;62;74;69
241;9;1;5;7;3;19;29;26;22;18;35;43;0;44;31;53;47;56;52;51;68;74;66;73;65
242;6;4;12;11;3;18;24;22;30;21;37;31;0;33;40;52;55;58;50;56;65;72;67;63;69
243;12;2;7;10;4;23;24;30;26;17;37;36;0;40;34;47;49;54;55;46;69;68;61;63;66
244;14;10;7;11;9;22;27;24;29;28;35;43;0;45;40;51;59;48;47;54;69;70;66;62;72
245;9;8;11;1;6;23;28;29;20;27;45;37;0;42;32;53;54;57;55;52;64;61;69;71;72
246;8;9;2;5;1;26;19;27;28;17;44;31;0;43;33;56;51;50;54;55;71;64;69;72;63
247;11;13;1;14;7;22;20;19;29;26;35;32;0;41;42;60;53;46;52;49;64;67;73;75;74
248;11;7;13;12;5;23;28;24;16;25;37;42;0;35;36;57;51;46;59;48;73;75;62;65;61
249;6;3;1;9;7;25;24;22;17;18;43;40;0;31;39;56;47;60;50;46;66;69;67;62;75
250;11;3;15;9;10;19;20;28;30;29;36;44;0;41;35;52;57;59;60;55;66;70;73;61;75
251;12;7;10;4;2;22;27;17;20;25;41;32;0;37;38;58;54;60;46;47;73;71;69;64;63
252;14;10;6;7;15;18;28;27;20;16;34;36;0;32;44;58;52;54;55;47;64;65;68;66;62
253;3;9;13;11;7;18;29;28;16;27;38;35;0;36;34;51;56;49;57;53;68;73;72;69;61
254;5;8;12;9;1;19;24;28;17;16;33;42;0;35;40;48;55;57;49;52;68;62;64;69;61
255;5;7;8;2;4;20;18;17;29;16;39;45;0;38;31;52;56;48;46;60;66;75;62;69;67
256;11;4;6;7;9;18;29;26;21;20;32;33;0;43;42;59;54;48;47;53;73;67;71;72;66
257;12;6;4;15;5;21;18;19;25;26;38;40;0;42;31;54;53;58;55;52;63;73;62;61;68
258;8;6;10;3;5;19;27;18;30;17;40;39;0;36;34;52;47;46;53;50;68;72;70;74;69
259;15;4;14;11;6;19;27;22;21;18;38;34;0;40;36;46;49;48;59;53;66;69;71;61;64
260;7;6;5;2;4;26;23;18;21;17;45;44;0;35;32;47;54;58;55;56;64;66;75;61;63
261;4;14;1;15;7;25;20;27;22;29;42;45;0;41;32;56;59;46;51;47;72;66;61;65;68
262;15;9;10;4;11;24;22;29;16;21;32;31;0;38;41;51;52;55;58;53;68;73;65;74;71
263;4;12;3;7;14;27;24;28;29;16;34;38;0;41;35;46;50;55;58;52;72;71;65;67;64
264;12;13;3;9;6;29;27;20;19;23;45;44;0;41;37;46;49;53;57;56;63;73;75;62;70
265;9;6;3;8;4;30;29;21;23;16;40;31;0;39;45;56;50;58;57;59;73;67;75;68;66
266;11;8;14;3;10;21;18;25;23;29;42;44;0;37;41;49;47;56;50;57;65;70;69;68;73
